'an'cang'sha'ji 暗藏杀机
'an'chen'mi'san 暗沉弥散
'ba'dao 霸刀
'ba'huang'gui'yuan 八荒归元
'bai'zu 百足
'bang'da'gou'tou 棒打狗头
'bao'yu'li'hua'zhen 暴雨梨花针
'bei'shui 杯水
'bei'shui'liu'ying 杯水留影
'bi'die'yin 碧蝶引
'bi'shui 碧水
'bi'shui'tao'tian 碧水滔天
'bi'zhen 彼针
'bing'can 冰蚕
'bing'can'qian'si 冰蚕牵丝
'bing'xin 冰心
'bo'gou'chao'tian 拨狗朝天
'bo're 般若
'bo're'jue 般若诀
'bu'feng'shi 捕风式
'bu'jian'qi 补剑气
'bu'tian 补天
'bu'wei'an'xing 怖畏暗刑
'cang'jian 藏剑
'cang'yue 沧月
'cang'yun 苍云
'chan'xiao 蟾啸
'chang'ge 长歌
'chang'zhen 长针
'chao'sheng'yan 朝圣言
'cheng'long'xi'shui 乘龙戏水
'chi'ri'lun 赤日轮
'chu'he'han'jie 楚河汉界
'chuan'xin'nu 穿心弩
'chuan'yun 穿云
'chun'ni'hu'hua 春泥护花
'chun'yang 纯阳
'ci'bei'yuan 慈悲愿
'da'dao 大刀
'da'dao'wu'shu 大道无术
'da'lei 打雷
'da'qian'die 大千蝶
'da'shi'zi'hou 大狮子吼
'dai'xian'ji'qu 玳弦急曲
'dao'xiao'feng'yin 刀啸风吟
'di'can'long'xiang 帝骖龙翔
'die'chi 蝶池
'die'nong'zu 蝶弄足
'dong'du'zhi'lang 东都之狼
'du'jing 毒经
'du'nai 毒奶
'duan'gu'jue 锻骨决
'duan'hun'ci 断魂刺
'dun'bi 盾壁
'dun'dang 盾挡
'dun'dao 盾刀
'dun'fei 盾飞
'dun'hui 盾回
'dun'ji 盾击
'dun'li 盾立
'dun'meng 盾猛
'dun'qiang 盾墙
'dun'wu 盾舞
'dun'ya 盾压
'dun'yi 盾毅
'duo'po'jian 夺魄箭
'e'gou'lan'lu 恶狗拦路
'fan'yin'ji'jie 繁音急节
'fei'long'zai'tian 飞龙在天
'fei'xing 飞星
'fei'xing'dun'ying 飞星遁影
'feng'cha'yun'jing 峰插云景
'feng'che 风车
'feng'chui'he 风吹荷
'feng'lai'wu'shan 风来吴山
'feng'wu'yin 风蜈引
'feng'xiu 风袖
'feng'xiu'di'ang 风袖低昂
'feng'zhen 缝针
'feng'zhen 锋针
'fu'guang'lue'ying 浮光掠影
'fu'ming'zhong'sheng 伏明众生
'fu'rong'bing'di 芙蓉并蒂
'gai'bang 丐帮
'gao'shan'liu'shui 高山流水
'ge'jin'ying'sheng 歌尽影生
'ge'ju'qin'gong 割据秦宫
'gu'chong'xian'ji 蛊虫献祭
'gu'huo 蛊惑
'gu'huo'zhong'sheng 蛊惑众生
'gu'ying'hua'shuang 孤影化双
'guang'ming'xiang 光明相
'gui'fu'shen'gong 鬼斧神工
'ha'ma 蛤蟆
'han'di 撼地
'han'ru'lei 撼如雷
'he'shang 和尚
'heng'da'shuang'ao 横打双獒
'heng'sao'lu'he 横扫六合
'hu'die 蝴蝶
'hu'die'qu'san 蝴蝶驱散
'hua'die 化蝶
'hua'jian 花间
'huan'guang'bu 幻光步
'hui'meng'zhu'guang 洄梦逐光
'hui'xue'piao'yao 回雪飘摇
'ji'le'yin 极乐引
'ji'ru'feng 疾如风
'jia'fa'gu 假发谷
'jia'zhan'fu 假战复
'jian'bi'qing'ye 坚壁清野
'jian'chong'yin'yang 剑冲阴阳
'jian'chun 剑纯
'jian'long'zai'tian 见龙在田
'jian'po 剑破
'jian'po'xu'kong 剑破虚空
'jian'qi'chang'jiang 剑气长江
'jian'ying'liu'hen 剑影留痕
'jiang'hai'ning'guang 江海凝光
'jiao'ji'she 搅基蛇
'jiao'long'fan'jiang 蛟龙翻江
'jiao'xie 缴械
'jie'dao 劫刀
